Date,Open,High,Low,Close
12-Aug-13,5606.7,5644.1,5557.1,5612.4
13-Aug-13,5600.25,5704.75,5578.9,5699.3
14-Aug-13,5715.4,5754.55,5690.2,5742.3
16-Aug-13,5705.45,5716.6,5496.05,5507.8
19-Aug-13,5497.55,5499.65,5360.65,5414.7
20-Aug-13,5353.45,5417.8,5306.35,5401.4
21-Aug-13,5494.45,5504.1,5268.45,5302.5
22-Aug-13,5282.8,5418.95,5254.05,5408.4
23-Aug-13,5428.75,5478.8,5377.8,5471.7
26-Aug-13,5499.4,5528.7,5454.45,5476.5
27-Aug-13,5426.5,5427.4,5274.25,5287.4
28-Aug-13,5233.45,5317.7,5118.85,5285
29-Aug-13,5316.5,5428.9,5303,5409
30-Aug-13,5407.45,5493.3,5360.2,5471.8
02-Sep-13,5480.25,5564.9,5478.85,5550.7
03-Sep-13,5574.7,5580.95,5323.75,5341.4
04-Sep-13,5358.65,5460.25,5318.9,5448.1
05-Sep-13,5553.75,5625.75,5552.7,5592.9
06-Sep-13,5617.45,5688.6,5566.15,5680.4
10-Sep-13,5738.5,5904.85,5738.2,5896.7
11-Sep-13,5887.25,5924.35,5832.7,5913.1
12-Sep-13,5931.15,5932,5815.8,5850.7
13-Sep-13,5828,5884.3,5822.9,5850.6
16-Sep-13,5930.3,5957.25,5798.15,5840.5
17-Sep-13,5824.2,5857.8,5804.9,5850.2
18-Sep-13,5872.75,5916.9,5840.2,5899.4
19-Sep-13,6044.15,6142.5,6040.15,6115.5
20-Sep-13,6104.55,6130.95,5932.85,6012.1
23-Sep-13,5945.8,5989.4,5871.4,5889.7
24-Sep-13,5855,5938.4,5854.55,5892.4
25-Sep-13,5901.55,5910.55,5811.1,5873.8
26-Sep-13,5872.8,5917.65,5864.1,5882.2
27-Sep-13,5905.55,5909.2,5819.3,5833.2
30-Sep-13,5801.05,5810.2,5718.5,5735.3
01-Oct-13,5756.1,5786.45,5700.95,5780
03-Oct-13,5819.1,5917.6,5802.7,5909.7
04-Oct-13,5891.3,5950.45,5885,5907.3
07-Oct-13,5889.05,5912,5825.85,5906.1
08-Oct-13,5975,5981.7,5913,5928.4
09-Oct-13,5893.25,6015.5,5877.1,6007.4
10-Oct-13,6001.05,6033.95,5979.8,6020.9
11-Oct-13,6104.85,6107.6,6046.4,6096.2
14-Oct-13,6093,6124.1,6082.9,6112.7
15-Oct-13,6147.55,6156.3,6056.55,6089
17-Oct-13,6098.5,6110.75,6032.55,6045.8
18-Oct-13,6070.9,6201.45,6070.9,6189.3
21-Oct-13,6202,6218.95,6163.3,6204.9
22-Oct-13,6192.3,6220.1,6181.8,6202.8
23-Oct-13,6209.55,6217.95,6116.6,6178.3
24-Oct-13,6162.8,6252.45,6142.95,6164.3
25-Oct-13,6154,6174.75,6125.95,6144.9
28-Oct-13,6155.1,6168.75,6094.1,6101.1
29-Oct-13,6107.55,6228.05,6079.2,6220.9
30-Oct-13,6230.8,6269.2,6222.6,6251.7
31-Oct-13,6237.15,6309.05,6235.9,6299.1
01-Nov-13,6289.75,6332.6,6286.95,6307.2
03-Nov-13,6332.05,6342.95,6311.15,6317.3
05-Nov-13,6282.15,6304.75,6244.3,6253.1
06-Nov-13,6260.55,6269.7,6208.7,6215.1
07-Nov-13,6228.9,6288.95,6180.8,6187.2
08-Nov-13,6170.15,6185.15,6120.95,6140.7
11-Nov-13,6110.4,6141.65,6067.75,6078.8
12-Nov-13,6087.25,6108.7,6011.75,6018
13-Nov-13,5998.85,6042.25,5972.45,5989.6
14-Nov-13,6037,6101.65,6036.65,6056.1
18-Nov-13,6111.05,6196.8,6110.4,6189
19-Nov-13,6197.25,6212.4,6180.2,6203.3
20-Nov-13,6186.85,6204.35,6106.95,6122.9
21-Nov-13,6096.5,6097.35,5985.4,5999
22-Nov-13,6027.35,6049.6,5972.8,5995.4
25-Nov-13,6035.95,6123.5,6035.95,6115.3
26-Nov-13,6099.25,6112.7,6047.75,6059.1
27-Nov-13,6062.7,6074,6030.3,6057.1
28-Nov-13,6092,6112.95,6068.3,6091.8
29-Nov-13,6103.9,6182.5,6103.8,6176.1
02-Dec-13,6171.15,6228.7,6171.15,6217.8
03-Dec-13,6204.25,6225.4,6191.4,6201.8
04-Dec-13,6187.95,6209.15,6149.9,6160.9
05-Dec-13,6262.45,6300.55,6232,6241.1
06-Dec-13,6234.4,6275.35,6230.75,6259.9
09-Dec-13,6415,6415.25,6345,6363.9
10-Dec-13,6354.7,6362.25,6307.55,6332.8
11-Dec-13,6307.2,6326.6,6280.25,6307.9
12-Dec-13,6276.75,6286.85,6230.55,6237
13-Dec-13,6201.3,6208.6,6161.4,6168.4
16-Dec-13,6168.35,6183.25,6146.05,6154.7
17-Dec-13,6178.2,6190.55,6133,6139
18-Dec-13,6129.95,6236,6129.95,6217.1
19-Dec-13,6253.9,6263.75,6150.7,6166.6
20-Dec-13,6179.95,6284.5,6170.35,6274.2
23-Dec-13,6267.2,6317.5,6266.95,6284.5
24-Dec-13,6296.45,6301.5,6262,6268.4
26-Dec-13,6270.1,6302.75,6259.45,6278.9
27-Dec-13,6292.8,6324.9,6289.4,6313.8
30-Dec-13,6336.4,6344.05,6273.15,6291.1
31-Dec-13,6307.35,6317.3,6287.3,6304
01-Jan-14,6323.8,6327.2,6298.25,6301.6
02-Jan-14,6301.25,6358.3,6211.3,6221.1
03-Jan-14,6194.55,6221.7,6171.25,6211.1
06-Jan-14,6220.85,6224.7,6170.25,6191.4
07-Jan-14,6203.9,6221.5,6144.75,6162.2
08-Jan-14,6178.05,6192.1,6160.35,6174.6
